grid,players,C,trial,slack_found,boosted,equilibrium,rounds,delta_final,time_sec,avg_demand_change,avg_max_price,avg_price_std
7,20,2,0,1,False,True,12,0.5,37.25307330000214,0.3104265402843602,8.952546609222317,2.325517556518328
7,20,2,1,1,False,True,24,0.5,37.822171599953435,0.32062780269058294,7.59841812538043,2.3162232672494105
7,20,2,2,1,False,True,27,0.5,44.14585560001433,0.45619469026548676,9.791385326795444,2.642420174348764
7,20,2,3,1,False,True,19,0.5,40.456672800006345,0.4389908256880734,6.2894368501202,2.0215276597835112
7,20,2,4,0,True,True,102,0.25,16.80693139997311,0.1900990099009901,8.51435055424393,2.5061329214257557
7,20,3,0,1,False,True,28,0.5,41.47580120002385,0.25,8.967183402619504,2.5499443608274177
7,20,3,1,1,False,True,15,0.5,42.31884969997918,0.4203271028037383,7.874292899175079,2.343646612094735
7,20,3,2,1,False,True,24,0.5,50.14938119996805,0.5233183856502243,7.246950684786021,2.066742430502057
7,20,3,3,1,False,True,16,0.5,46.6469876000192,0.5076744186046512,6.637724514886009,2.2385126516556806
7,20,3,4,1,False,True,16,0.5,41.595620699983556,0.5244186046511627,8.876229250002662,2.2234443580412306
7,20,4,0,0,True,True,128,0.25,25.000696900009643,0.3562992125984252,8.823411791638723,2.159742501119743
7,20,4,1,1,False,True,14,0.5,43.643596999987494,0.4910798122065728,6.258679151873518,1.6869375106097622
7,20,4,2,1,False,True,27,0.5,50.590458199963905,0.4132743362831859,5.90784099323424,1.6841069622041038
7,20,4,3,0,True,True,116,0.25,25.336633700004313,0.5221739130434783,4.339614092811,1.3630851317189476
7,20,4,4,1,True,True,80,0.25,60.01361640001414,0.4437275985663082,7.182099786219976,1.6574577567397417
